"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TVSMOTOR","EQ","26-Aug-2019","        365.55","        379.00","        379.00","        355.70","        366.65","        366.60","        363.82","    2495889","           908050955.55","      34815","    1049419","         42.05"
"TVSMOTOR","EQ","27-Aug-2019","        366.60","        366.65","        375.80","        366.65","        372.05","        370.35","        371.19","    2386485","           885845453.85","      25360","     855309","         35.84"
"TVSMOTOR","EQ","28-Aug-2019","        370.35","        371.00","        372.00","        356.40","        360.00","        359.75","        362.99","    1168044","           423986531.05","      20333","     286642","         24.54"
"TVSMOTOR","EQ","29-Aug-2019","        359.75","        359.00","        359.00","        350.00","        355.15","        354.20","        353.58","    1233361","           436096439.85","      19023","     268016","         21.73"
"TVSMOTOR","EQ","30-Aug-2019","        354.20","        356.65","        359.50","        344.10","        352.40","        352.95","        350.79","    1603068","           562338963.50","      23319","     335902","         20.95"
"TVSMOTOR","EQ","03-Sep-2019","        352.95","        349.10","        363.90","        345.05","        360.70","        361.05","        358.68","    2351596","           843477677.50","      37171","     357322","         15.19"
"TVSMOTOR","EQ","04-Sep-2019","        361.05","        361.30","        369.90","        353.55","        365.55","        366.15","        362.68","    2925355","          1060969105.75","      28708","     810277","         27.70"
"TVSMOTOR","EQ","05-Sep-2019","        366.15","        365.00","        378.80","        361.65","        368.50","        370.60","        372.09","    2917481","          1085555121.45","      36735","     714617","         24.49"
"TVSMOTOR","EQ","06-Sep-2019","        370.60","        370.00","        385.65","        365.80","        381.15","        381.50","        377.51","    3461995","          1306939639.70","      49846","     640496","         18.50"
"TVSMOTOR","EQ","09-Sep-2019","        381.50","        373.00","        393.85","        371.40","        390.70","        389.00","        381.84","    2809696","          1072843383.90","      34430","     624043","         22.21"
"TVSMOTOR","EQ","11-Sep-2019","        389.00","        390.30","        406.70","        387.20","        403.00","        402.95","        400.40","    3854277","          1543261527.10","      41537","     506075","         13.13"
"TVSMOTOR","EQ","12-Sep-2019","        402.95","        403.95","        403.95","        387.30","        389.05","        389.30","        393.91","    2227773","           877534107.80","      33114","     521848","         23.42"
"TVSMOTOR","EQ","13-Sep-2019","        389.30","        392.00","        394.50","        382.00","        388.35","        390.35","        388.18","    2665247","          1034592462.75","      34406","     645081","         24.20"
"TVSMOTOR","EQ","16-Sep-2019","        390.35","        385.00","        390.60","        378.00","        386.30","        387.20","        385.00","    2080705","           801069974.15","      40500","     531078","         25.52"
"TVSMOTOR","EQ","17-Sep-2019","        387.20","        385.00","        390.45","        370.50","        372.00","        372.20","        379.71","    2443493","           927822707.65","      31781","     863993","         35.36"
"TVSMOTOR","EQ","18-Sep-2019","        372.20","        373.55","        377.30","        368.45","        373.70","        373.95","        372.82","    1698602","           633274957.95","      31102","     277477","         16.34"
"TVSMOTOR","EQ","19-Sep-2019","        373.95","        373.95","        378.50","        370.35","        375.15","        373.65","        373.62","    1512314","           565037694.50","      20225","     389008","         25.72"
"TVSMOTOR","EQ","20-Sep-2019","        373.65","        375.15","        433.50","        370.40","        426.00","        424.70","        408.90","    5367498","          2194767620.05","      87167","    1077153","         20.07"
"TVSMOTOR","EQ","23-Sep-2019","        424.70","        433.00","        444.00","        415.00","        427.00","        431.50","        429.88","    2631802","          1131346637.70","      49218","     540182","         20.53"
"TVSMOTOR","EQ","24-Sep-2019","        431.50","        427.90","        432.00","        414.25","        420.05","        418.50","        425.32","    1759021","           748148772.05","      27559","     469359","         26.68"
"TVSMOTOR","EQ","25-Sep-2019","        418.50","        415.00","        415.00","        391.05","        397.65","        401.80","        401.83","    2621967","          1053594740.30","      46323","     659903","         25.17"
"TVSMOTOR","EQ","26-Sep-2019","        401.80","        401.80","        423.55","        398.00","        422.20","        417.85","        416.14","    4482199","          1865225269.55","      52363","    1270971","         28.36"
"TVSMOTOR","EQ","27-Sep-2019","        417.85","        414.90","        417.55","        406.10","        411.10","        412.50","        411.02","    1557592","           640203246.10","      20164","     125716","          8.07"
"TVSMOTOR","EQ","30-Sep-2019","        412.50","        413.30","        424.30","        403.40","        420.65","        422.00","        414.02","    2447415","          1013287341.25","      32641","     486681","         19.89"
"TVSMOTOR","EQ","01-Oct-2019","        422.00","        418.00","        424.50","        411.10","        418.05","        419.60","        417.84","    1593936","           666003345.15","      23878","      85917","          5.39"
"TVSMOTOR","EQ","03-Oct-2019","        419.60","        405.00","        414.70","        402.00","        403.90","        405.30","        407.33","    1993787","           812129130.35","      32603","     228174","         11.44"
"TVSMOTOR","EQ","04-Oct-2019","        405.30","        403.90","        415.00","        392.75","        396.25","        396.35","        404.20","    1763359","           712752409.70","      27776","     192370","         10.91"
"TVSMOTOR","EQ","07-Oct-2019","        396.35","        390.00","        400.50","        380.70","        397.75","        393.70","        387.96","    2029657","           787418933.50","      25460","     319103","         15.72"
"TVSMOTOR","EQ","09-Oct-2019","        393.70","        395.00","        400.70","        388.25","        393.95","        396.95","        394.32","    1916445","           755684884.85","      26408","     490137","         25.58"
"TVSMOTOR","EQ","10-Oct-2019","        396.95","        396.70","        396.70","        382.05","        383.10","        384.45","        386.88","    1165519","           450918360.50","      21109","     230233","         19.75"
"TVSMOTOR","EQ","11-Oct-2019","        384.45","        386.20","        396.90","        382.20","        394.40","        394.00","        390.38","    1604685","           626432738.70","      16748","     467673","         29.14"
"TVSMOTOR","EQ","14-Oct-2019","        394.00","        392.25","        400.50","        386.70","        398.05","        397.50","        394.41","    1350640","           532705471.05","      16443","     261781","         19.38"
"TVSMOTOR","EQ","15-Oct-2019","        397.50","        398.00","        411.90","        391.65","        410.10","        410.10","        405.09","    3185751","          1290516943.25","      37392","     722279","         22.67"
"TVSMOTOR","EQ","16-Oct-2019","        410.10","        412.60","        416.60","        406.65","        412.00","        411.70","        411.53","    3745656","          1541446508.80","      38192","    1651546","         44.09"
"TVSMOTOR","EQ","17-Oct-2019","        411.70","        408.00","        451.80","        397.10","        446.40","        439.80","        425.80","    7521706","          3202744840.85","      88495","     917418","         12.20"
"TVSMOTOR","EQ","18-Oct-2019","        439.80","        432.50","        460.00","        428.30","        456.25","        456.50","        450.09","    7430853","          3344565279.30","      92676","    1134531","         15.27"
"TVSMOTOR","EQ","22-Oct-2019","        456.50","        451.60","        463.00","        448.05","        452.00","        451.60","        455.23","    2647500","          1205209312.65","      42272","     556910","         21.04"
"TVSMOTOR","EQ","23-Oct-2019","        451.60","        454.00","        469.00","        446.35","        461.55","        462.95","        460.44","    2572546","          1184502720.10","      34334","     507528","         19.73"
"TVSMOTOR","EQ","24-Oct-2019","        462.95","        461.00","        467.60","        450.45","        459.35","        459.35","        458.33","    1837569","           842207690.75","      26002","     280431","         15.26"
"TVSMOTOR","EQ","25-Oct-2019","        459.35","        452.35","        467.00","        452.35","        465.00","        464.95","        462.69","    1773165","           820419493.05","      18993","     282751","         15.95"
"TVSMOTOR","EQ","27-Oct-2019","        464.95","        470.00","        472.00","        461.00","        461.25","        464.90","        465.72","     236050","           109932696.30","       3606","      34377","         14.56"
"TVSMOTOR","EQ","29-Oct-2019","        464.90","        463.75","        482.85","        462.45","        480.30","        479.05","        475.34","    2250861","          1069920708.30","      29277","     471007","         20.93"
"TVSMOTOR","EQ","30-Oct-2019","        479.05","        478.00","        500.80","        474.05","        493.55","        494.85","        490.68","    2995598","          1469882222.90","      31643","     652336","         21.78"
"TVSMOTOR","EQ","31-Oct-2019","        494.85","        502.00","        504.00","        478.45","        479.80","        486.65","        492.06","    4501628","          2215060396.20","      62360","    1280302","         28.44"
"TVSMOTOR","EQ","01-Nov-2019","        486.65","        484.70","        488.50","        463.20","        467.55","        469.25","        475.91","    2628138","          1250766293.55","      32074","     410216","         15.61"
"TVSMOTOR","EQ","04-Nov-2019","        469.25","        470.00","        471.70","        452.80","        455.65","        455.65","        460.39","    1646975","           758244685.70","      24475","     280086","         17.01"
"TVSMOTOR","EQ","05-Nov-2019","        455.65","        460.00","        468.30","        455.00","        457.95","        458.85","        463.38","    1972191","           913874495.15","      25257","     289393","         14.67"
"TVSMOTOR","EQ","06-Nov-2019","        458.85","        458.85","        464.10","        454.55","        460.45","        460.70","        459.65","    1168437","           537073465.25","      15637","     149389","         12.79"
"TVSMOTOR","EQ","07-Nov-2019","        460.70","        461.55","        463.95","        447.55","        450.40","        449.30","        452.55","    1537259","           695688151.45","      30102","     515152","         33.51"
"TVSMOTOR","EQ","08-Nov-2019","        449.30","        450.00","        456.45","        445.00","        448.00","        452.40","        452.22","    1322514","           598072200.95","      17553","     245516","         18.56"
"TVSMOTOR","EQ","11-Nov-2019","        452.40","        450.00","        454.45","        438.70","        445.05","        446.30","        444.73","    2385247","          1060797510.90","      37188","     861410","         36.11"
"TVSMOTOR","EQ","13-Nov-2019","        446.30","        447.00","        463.20","        446.05","        459.15","        459.80","        454.79","    2650866","          1205592034.35","      41971","    1413153","         53.31"
"TVSMOTOR","EQ","14-Nov-2019","        459.80","        461.50","        461.95","        445.00","        445.50","        448.30","        451.04","    1799094","           811463052.05","      27674","     609587","         33.88"
"TVSMOTOR","EQ","15-Nov-2019","        448.30","        451.10","        459.90","        450.25","        452.00","        451.80","        455.24","    1315879","           599040069.20","      25124","     321030","         24.40"
"TVSMOTOR","EQ","18-Nov-2019","        451.80","        452.00","        455.95","        445.20","        449.55","        451.80","        450.06","    1664570","           749162665.95","      32395","     455445","         27.36"
"TVSMOTOR","EQ","19-Nov-2019","        451.80","        452.95","        456.00","        445.55","        447.50","        447.85","        449.28","     843871","           379138434.90","      13372","     171105","         20.28"
"TVSMOTOR","EQ","20-Nov-2019","        447.85","        448.00","        452.40","        442.80","        448.60","        448.05","        447.50","     911015","           407676631.85","      12045","     178442","         19.59"
"TVSMOTOR","EQ","21-Nov-2019","        448.05","        450.00","        460.80","        446.85","        448.40","        448.40","        454.87","    2749884","          1250831861.95","      35606","     462280","         16.81"
"TVSMOTOR","EQ","22-Nov-2019","        448.40","        451.00","        453.95","        441.20","        442.00","        442.95","        445.70","    1622778","           723276562.65","      16923","     437499","         26.96"
"TVSMOTOR","EQ","25-Nov-2019","        442.95","        445.00","        458.95","        442.35","        457.15","        455.50","        450.66","    1799285","           810865662.05","      18998","     561984","         31.23"
"TVSMOTOR","EQ","26-Nov-2019","        455.50","        457.75","        464.65","        451.40","        452.00","        453.00","        457.34","    1516097","           693376160.70","      19802","     324803","         21.42"
"TVSMOTOR","EQ","27-Nov-2019","        453.00","        459.60","        476.60","        454.00","        475.00","        472.10","        465.82","    2602641","          1212362145.90","      29737","     455823","         17.51"
"TVSMOTOR","EQ","28-Nov-2019","        472.10","        473.40","        490.00","        470.25","        485.70","        487.80","        480.46","    3469572","          1666994861.80","      41380","     798231","         23.01"
"TVSMOTOR","EQ","29-Nov-2019","        487.80","        484.00","        485.95","        470.35","        476.15","        477.25","        477.96","    1527483","           730083082.70","      17373","     274343","         17.96"
"TVSMOTOR","EQ","02-Dec-2019","        477.25","        474.70","        483.50","        462.10","        464.90","        467.75","        471.23","    1811823","           853778464.20","      27094","     141725","          7.82"
"TVSMOTOR","EQ","03-Dec-2019","        467.75","        462.55","        467.95","        451.50","        454.00","        455.35","        460.00","     897136","           412683226.10","      13980","      82975","          9.25"
"TVSMOTOR","EQ","04-Dec-2019","        455.35","        454.70","        454.70","        444.25","        451.55","        451.55","        449.49","    1294687","           581947250.85","      22556","     337883","         26.10"
"TVSMOTOR","EQ","05-Dec-2019","        451.55","        454.35","        460.00","        450.00","        451.00","        452.20","        455.16","    1093627","           497774762.75","      14936","     119178","         10.90"
"TVSMOTOR","EQ","06-Dec-2019","        452.20","        452.00","        454.75","        438.10","        444.00","        444.15","        444.83","    1043581","           464217300.75","      13400","     130946","         12.55"
"TVSMOTOR","EQ","09-Dec-2019","        444.15","        446.95","        453.00","        435.60","        440.20","        440.20","        442.35","    2205088","           975420544.30","      33162","     512280","         23.23"
"TVSMOTOR","EQ","10-Dec-2019","        440.20","        442.95","        443.65","        433.55","        434.95","        436.10","        436.91","    1212047","           529558295.15","      14755","      55776","          4.60"
"TVSMOTOR","EQ","11-Dec-2019","        436.10","        438.80","        441.20","        430.50","        438.10","        439.35","        434.91","     946769","           411760534.65","      14211","      92359","          9.76"
"TVSMOTOR","EQ","12-Dec-2019","        439.35","        442.05","        447.90","        439.40","        443.10","        444.10","        444.48","     962777","           427937807.45","      13278","      97983","         10.18"
"TVSMOTOR","EQ","13-Dec-2019","        444.10","        443.50","        461.25","        443.50","        457.25","        457.30","        455.52","    1858870","           846758137.65","      23551","     255060","         13.72"
"TVSMOTOR","EQ","16-Dec-2019","        457.30","        458.00","        460.00","        446.25","        448.20","        449.05","        451.43","    1094491","           494081957.10","      31482","     290647","         26.56"
"TVSMOTOR","EQ","17-Dec-2019","        449.05","        449.00","        456.90","        447.50","        451.10","        451.40","        452.75","    1259701","           570334027.25","      18436","     437757","         34.75"
"TVSMOTOR","EQ","18-Dec-2019","        451.40","        451.40","        452.95","        442.30","        445.55","        445.55","        445.90","    1153002","           514120145.30","      15514","     417634","         36.22"
"TVSMOTOR","EQ","19-Dec-2019","        445.55","        447.00","        463.80","        445.20","        456.70","        456.45","        457.15","    3818286","          1745537823.50","      51383","     618862","         16.21"
"TVSMOTOR","EQ","20-Dec-2019","        456.45","        457.00","        462.70","        454.10","        459.70","        461.10","        459.01","    1398625","           641982653.80","      20296","     169844","         12.14"
"TVSMOTOR","EQ","23-Dec-2019","        461.10","        462.00","        471.95","        459.40","        465.05","        466.60","        467.62","    2089293","           976993439.20","      31855","     258726","         12.38"
"TVSMOTOR","EQ","24-Dec-2019","        466.60","        467.10","        468.90","        460.00","        463.90","        464.55","        465.32","    1169554","           544219187.60","      18985","     135122","         11.55"
"TVSMOTOR","EQ","26-Dec-2019","        464.55","        465.90","        468.95","        457.00","        457.65","        459.90","        464.78","    1552187","           721422254.30","      23478","     540207","         34.80"
"TVSMOTOR","EQ","27-Dec-2019","        459.90","        461.65","        467.10","        458.60","        465.00","        464.60","        461.92","     944750","           436394684.70","      15885","     176525","         18.68"
"TVSMOTOR","EQ","30-Dec-2019","        464.60","        464.10","        481.70","        461.05","        481.00","        478.40","        473.62","    1541504","           730088494.05","      26800","     345280","         22.40"
"TVSMOTOR","EQ","31-Dec-2019","        478.40","        481.35","        481.90","        463.00","        466.00","        468.45","        472.86","    2123698","          1004204075.05","      26693","     324107","         15.26"
"TVSMOTOR","EQ","01-Jan-2020","        468.45","        469.90","        471.75","        464.30","        468.00","        468.60","        467.91","     902225","           422164374.60","       9860","     233601","         25.89"
"TVSMOTOR","EQ","02-Jan-2020","        468.60","        467.85","        469.60","        456.00","        459.20","        459.35","        462.04","    1474570","           681308244.20","      31749","     315543","         21.40"
"TVSMOTOR","EQ","03-Jan-2020","        459.35","        457.95","        457.95","        447.00","        451.00","        452.60","        450.93","    1890542","           852499282.45","      34091","     413996","         21.90"
"TVSMOTOR","EQ","06-Jan-2020","        452.60","        450.00","        451.90","        440.25","        445.85","        447.10","        445.91","    1673703","           746319035.80","      29728","     646662","         38.64"
"TVSMOTOR","EQ","07-Jan-2020","        447.10","        450.00","        454.35","        443.00","        445.45","        448.10","        447.43","    1309468","           585892528.30","      17621","     361849","         27.63"
"TVSMOTOR","EQ","08-Jan-2020","        448.10","        443.80","        449.40","        438.50","        446.95","        448.25","        443.72","    1186784","           526594396.25","      16232","     298646","         25.16"
"TVSMOTOR","EQ","09-Jan-2020","        448.25","        450.65","        463.70","        450.65","        462.00","        462.30","        457.87","    1127745","           516365543.70","      16362","     273835","         24.28"
"TVSMOTOR","EQ","10-Jan-2020","        462.30","        462.05","        471.50","        459.65","        471.05","        470.40","        466.68","    1177820","           549666301.00","      18991","     305212","         25.91"
"TVSMOTOR","EQ","13-Jan-2020","        470.40","        471.00","        471.65","        464.10","        469.00","        468.55","        468.26","    1067092","           499681402.50","      21302","     323174","         30.29"
"TVSMOTOR","EQ","14-Jan-2020","        468.55","        468.10","        474.45","        465.70","        472.10","        471.70","        470.50","     911176","           428706123.10","      12451","     401510","         44.07"
"TVSMOTOR","EQ","15-Jan-2020","        471.70","        470.95","        489.95","        468.20","        489.95","        484.20","        478.14","    1222665","           584599929.10","      21994","     349191","         28.56"
"TVSMOTOR","EQ","16-Jan-2020","        484.20","        488.00","        493.40","        484.55","        488.10","        488.35","        488.73","    1423802","           695854021.60","      21843","     454105","         31.89"
"TVSMOTOR","EQ","17-Jan-2020","        488.35","        490.00","        499.50","        481.85","        485.05","        485.10","        492.39","    2613095","          1286661007.65","      50760","     567109","         21.70"
"TVSMOTOR","EQ","20-Jan-2020","        485.10","        485.50","        486.90","        468.65","        469.50","        470.25","        473.64","    1227450","           581368268.70","      11796","     625595","         50.97"
"TVSMOTOR","EQ","21-Jan-2020","        470.25","        467.85","        470.35","        458.75","        461.80","        461.40","        462.26","    1139830","           526899608.15","      15261","     376033","         32.99"
"TVSMOTOR","EQ","22-Jan-2020","        461.40","        462.50","        468.50","        455.45","        464.10","        464.55","        463.62","    1201196","           556903428.90","      18856","     242777","         20.21"
"TVSMOTOR","EQ","23-Jan-2020","        464.55","        464.10","        469.50","        459.50","        463.05","        464.40","        465.36","    1172659","           545704311.30","      19176","     522380","         44.55"
"TVSMOTOR","EQ","24-Jan-2020","        464.40","        464.40","        473.80","        462.70","        467.70","        468.90","        469.14","    1446483","           678607581.90","      22885","     632437","         43.72"
"TVSMOTOR","EQ","27-Jan-2020","        468.90","        468.90","        476.85","        462.85","        465.15","        465.10","        471.36","    1354540","           638476914.65","      33087","     354960","         26.21"
"TVSMOTOR","EQ","28-Jan-2020","        465.10","        465.50","        474.90","        452.40","        464.00","        461.75","        465.22","    1440700","           670235316.95","      28329","     308223","         21.39"
"TVSMOTOR","EQ","29-Jan-2020","        461.75","        464.00","        471.50","        461.80","        468.75","        469.85","        467.08","     989238","           462056324.25","      15140","     334846","         33.85"
"TVSMOTOR","EQ","30-Jan-2020","        469.85","        468.25","        475.80","        463.60","        468.10","        469.50","        469.25","    1629705","           764735475.20","      20146","     616308","         37.82"
"TVSMOTOR","EQ","31-Jan-2020","        469.50","        471.00","        473.35","        465.00","        466.00","        467.05","        468.06","     843524","           394823121.75","      22536","     272095","         32.26"
"TVSMOTOR","EQ","01-Feb-2020","        467.05","        466.00","        473.50","        460.25","        460.55","        463.95","        467.04","    1128442","           527031781.10","      27169","     443816","         39.33"
"TVSMOTOR","EQ","03-Feb-2020","        463.95","        457.00","        473.80","        454.60","        470.45","        471.30","        466.33","    1694927","           790391591.90","      43816","     427874","         25.24"
"TVSMOTOR","EQ","04-Feb-2020","        471.30","        472.00","        480.85","        450.00","        459.50","        455.25","        465.32","    2614003","          1216357591.20","      66262","     647619","         24.77"
"TVSMOTOR","EQ","05-Feb-2020","        455.25","        456.15","        483.00","        456.15","        461.95","        463.05","        470.02","    4906286","          2306075619.85","      98374","    1055986","         21.52"
"TVSMOTOR","EQ","06-Feb-2020","        463.05","        464.00","        481.00","        463.00","        473.75","        473.85","        475.66","    2689597","          1279339083.75","      39449","     838255","         31.17"
"TVSMOTOR","EQ","07-Feb-2020","        473.85","        476.20","        479.95","        464.75","        465.15","        466.20","        469.96","    1261340","           592773342.45","      22488","     345584","         27.40"
"TVSMOTOR","EQ","10-Feb-2020","        466.20","        466.20","        467.80","        454.50","        455.00","        456.20","        459.78","     862786","           396689359.75","      15158","     228738","         26.51"
"TVSMOTOR","EQ","11-Feb-2020","        456.20","        458.90","        461.65","        449.40","        450.80","        451.00","        456.42","    1022942","           466890416.75","      11833","     212225","         20.75"
"TVSMOTOR","EQ","12-Feb-2020","        451.00","        454.80","        455.20","        444.40","        449.35","        448.05","        448.29","     899763","           403352227.40","      18375","     192845","         21.43"
"TVSMOTOR","EQ","13-Feb-2020","        448.05","        450.85","        451.50","        441.60","        444.45","        444.80","        446.05","     895235","           399317557.65","      15489","     287807","         32.15"
"TVSMOTOR","EQ","14-Feb-2020","        444.80","        444.80","        447.55","        437.10","        438.00","        439.20","        443.39","     814225","           361017886.00","      14957","     317048","         38.94"
"TVSMOTOR","EQ","17-Feb-2020","        439.20","        436.00","        440.50","        428.15","        431.70","        430.45","        433.98","    1104464","           479310299.20","      22090","     307954","         27.88"
"TVSMOTOR","EQ","18-Feb-2020","        430.45","        429.00","        443.00","        424.00","        440.00","        438.40","        431.85","    1737719","           750430621.35","      24912","     292523","         16.83"
"TVSMOTOR","EQ","19-Feb-2020","        438.40","        442.95","        446.70","        434.55","        440.75","        440.70","        440.36","    1353692","           596110754.95","      20642","     318162","         23.50"
"TVSMOTOR","EQ","20-Feb-2020","        440.70","        440.50","        447.90","        437.30","        445.65","        446.45","        443.54","    1211994","           537573285.25","      18979","     430687","         35.54"
